t;ms1.mq;ms1.ab1;ms1.ab2;ms1.zu1;ms1.zu2;ms2.mq;ms2.ab1;ms2.zu1;ms3.mq;ms4.mq;MS1;MS2;MS3;MS4;VS_MS1;VS_MS2;VS_MS3;VS_MS4;VS_MQ1;VS_MQ2;VS_MQ3;VS_MQ4;BIL_MS2;BIL_MS3;ABW_GR2;ABW_GR3;ABW_VOR2;ABW_VOR3
1;469;36;16;45;16;550;39;25;464;464;478;536;464;464;;;;;;;;;;;;;;
1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;;;;;
1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;;;;;
1;7;0;0;0;1;9;0;0;8;8;8;9;8;8;;;;;;;;;;;;;;
1;918;44;68;14;79;918;4;52;947;947;899;966;947;947;462;504;473;473;465;492;473;473;61;-31;5;-1;7;-6
2;142;-1;11;7;2;162;2;5;144;144;141;165;144;144;;;;;;;;;;;;;;
2;978;-1;24;20;15;1202;89;17;918;918;990;1130;918;918;;;;;;;;;;;;;;
2;480;-1;9;5;6;517;23;4;464;464;483;498;464;464;;;;;;;;;;;;;;
2;798;-1;19;78;17;1012;3;31;903;903;875;1040;903;903;;;;;;;;;;;;;;
2;193;-1;4;16;7;218;9;18;222;222;213;227;222;222;539;612;530;530;518;622;530;530;-100000003;-82;17;-7;-100003;-13
3;546;52;12;-1;33;567;48;1;467;467;514;520;467;467;;;;;;;;;;;;;;
3;508;14;0;-1;33;630;49;57;534;534;526;638;534;534;;;;;;;;;;;;;;
3;774;55;46;-1;60;755;29;59;762;762;732;785;762;762;;;;;;;;;;;;;;
3;960;32;73;-1;90;1153;76;103;971;971;944;1180;971;971;;;;;;;;;;;;;;
3;324;18;18;-1;7;380;19;16;291;291;294;377;291;291;-3;700;605;605;622;697;605;605;190;-95;15;-5;16;-14
4;173;8;7;6;6;217;-1;10;181;181;170;228;181;181;;;;;;;;;;;;;;
4;195;8;12;18;1;206;-1;1;196;196;194;208;196;196;;;;;;;;;;;;;;
4;687;1;26;30;21;824;-1;78;790;790;711;903;790;790;;;;;;;;;;;;;;
4;623;49;1;48;14;659;-1;47;683;683;635;707;683;683;;;;;;;;;;;;;;
4;36;2;2;0;2;41;-1;2;37;37;34;44;37;37;349;-3;377;377;343;389;377;377;81;-41;6;-1;12;-10
5;174;8;16;4;6;161;7;10;163;163;160;164;163;163;;;;;;;;;;;;;;
5;512;20;24;18;40;586;55;39;510;510;526;570;510;510;;;;;;;;;;;;;;
5;584;21;52;55;24;690;46;52;596;596;590;696;596;596;;;;;;;;;;;;;;
5;859;83;9;0;1;802;49;72;791;791;768;825;791;791;;;;;;;;;;;;;;
5;546;2;47;23;45;710;61;27;531;531;565;676;531;531;522;586;518;518;535;590;518;518;136;-68;14;-4;13;-12
6;816;56;52;20;10;887;77;44;705;705;738;854;705;705;;;;;;;;;;;;;;
6;322;6;23;25;5;379;13;35;345;345;323;401;345;345;;;;;;;;;;;;;;
6;877;53;56;74;64;958;35;70;941;941;906;993;941;941;;;;;;;;;;;;;;
6;275;26;23;15;10;282;20;16;247;247;251;278;247;247;;;;;;;;;;;;;;
6;831;56;30;50;74;931;10;86;945;945;869;1007;945;945;617;707;637;637;624;687;637;637;140;-70;9;-3;11;-10
7;985;1;19;75;38;1216;78;103;1103;1103;1078;1241;1103;1103;;;;;;;;;;;;;;
7;708;5;70;70;27;879;0;34;764;764;730;913;764;764;;;;;;;;;;;;;;
7;678;30;31;27;66;853;41;61;730;730;710;873;730;730;;;;;;;;;;;;;;
7;717;62;64;56;41;692;65;33;656;656;688;660;656;656;;;;;;;;;;;;;;
7;791;30;55;69;14;944;5;74;858;858;789;1013;858;858;799;940;822;822;776;917;822;822;236;-118;13;-4;15;-13
8;704;30;59;60;24;796;30;15;684;684;699;781;684;684;;;;;;;;;;;;;;
8;957;93;80;21;17;909;8;67;881;881;822;968;881;881;;;;;;;;;;;;;;
8;854;62;21;20;76;892;9;29;887;887;867;912;887;887;;;;;;;;;;;;;;
8;872;48;75;5;73;974;44;55;838;838;827;985;838;838;;;;;;;;;;;;;;
8;334;1;5;22;13;433;42;16;337;337;363;407;337;337;716;811;725;725;744;801;725;725;170;-85;11;-3;12;-11
9;49;4;4;1;4;56;4;5;47;47;46;57;47;47;;;;;;;;;;;;;;
9;763;31;36;38;18;941;0;3;755;755;752;944;755;755;;;;;;;;;;;;;;
9;68;4;1;1;2;78;3;3;66;66;66;78;66;66;;;;;;;;;;;;;;
9;551;20;53;35;7;660;11;13;522;522;520;662;522;522;;;;;;;;;;;;;;
9;280;27;20;7;8;302;9;25;264;264;248;318;264;264;326;412;331;331;342;407;331;331;162;-81;24;-7;25;-20
10;265;5;22;4;19;294;1;10;270;270;261;303;270;270;;;;;;;;;;;;;;
10;83;3;2;8;2;97;6;9;91;91;88;100;91;91;;;;;;;;;;;;;;
10;980;59;46;14;39;1023;30;71;969;969;928;1064;969;969;;;;;;;;;;;;;;
10;306;17;8;6;26;335;6;11;318;318;313;340;318;318;;;;;;;;;;;;;;
10;104;8;6;6;9;108;4;4;105;105;105;108;105;105;339;383;351;351;348;371;351;351;65;-32;7;-2;10;-8
