t;ms1.mq;ms1.ab1;ms1.ab2;ms1.zu1;ms1.zu2;ms2.mq;ms2.ab1;ms2.zu1;ms3.mq;ms4.mq;MS1;MS2;MS3;MS4;VS_MS1;VS_MS2;VS_MS3;VS_MS4;VS_MQ1;VS_MQ2;VS_MQ3;VS_MQ4;BIL_MS2;BIL_MS3;ABW_GR2;ABW_GR3;ABW_VOR2;ABW_VOR3
1;407;1;26;21;17;435;17;21;422;422;418;439;422;422;;;;;;;;;;;;;;
1;587;37;54;52;30;614;14;51;615;615;578;651;615;615;;;;;;;;;;;;;;
1;921;21;56;26;25;1071;89;31;837;837;895;1013;837;837;;;;;;;;;;;;;;
1;870;63;5;25;70;1136;50;25;872;872;897;1111;872;872;;;;;;;;;;;;;;
1;575;45;50;22;8;659;16;26;520;520;510;669;520;520;660;777;653;653;672;783;653;653;247;-123;19;-6;19;-16
2;80;6;4;6;6;86;1;1;82;82;82;86;82;82;;;;;;;;;;;;;;
2;223;20;1;18;18;241;11;24;251;251;238;254;251;251;;;;;;;;;;;;;;
2;816;37;70;60;75;887;20;30;854;854;844;897;854;854;;;;;;;;;;;;;;
2;369;9;7;0;12;461;21;38;382;382;365;478;382;382;;;;;;;;;;;;;;
2;342;33;2;19;15;392;2;30;369;369;341;420;369;369;374;427;388;388;366;413;388;388;79;-39;8;-2;11;-9
3;195;3;9;15;3;203;4;4;201;201;201;203;201;201;;;;;;;;;;;;;;
3;505;17;4;38;3;632;10;5;520;520;525;627;520;520;;;;;;;;;;;;;;
3;248;12;2;20;9;287;10;9;262;262;263;286;262;262;;;;;;;;;;;;;;
3;83;8;2;7;3;87;2;3;84;84;83;88;84;84;;;;;;;;;;;;;;
3;90;6;6;5;4;93;9;6;84;84;87;90;84;84;232;259;230;230;224;260;230;230;57;-29;13;-4;12;-11
4;128;12;4;5;8;141;4;3;124;124;125;140;124;124;;;;;;;;;;;;;;
4;301;29;13;26;30;399;17;15;313;313;315;397;313;313;;;;;;;;;;;;;;
4;134;9;7;1;3;136;4;10;128;128;122;142;128;128;;;;;;;;;;;;;;
4;535;8;20;36;40;600;25;22;580;580;583;597;580;580;;;;;;;;;;;;;;
4;212;8;13;20;15;277;0;2;228;228;226;279;228;228;274;311;275;275;262;311;275;275;73;-36;13;-4;13;-12
5;456;29;36;40;13;486;19;24;449;449;444;491;449;449;;;;;;;;;;;;;;
5;218;5;0;1;11;262;12;3;216;216;225;253;216;216;;;;;;;;;;;;;;
5;215;3;19;19;1;232;5;3;211;211;213;230;211;211;;;;;;;;;;;;;;
5;194;2;8;3;10;209;7;6;196;196;197;208;196;196;;;;;;;;;;;;;;
5;635;10;36;56;54;852;6;32;725;725;699;878;725;725;356;412;359;359;344;408;359;359;105;-53;14;-4;15;-13
6;212;2;11;14;15;248;9;24;243;243;228;263;243;243;;;;;;;;;;;;;;
6;699;47;18;15;54;740;66;42;679;679;703;716;679;679;;;;;;;;;;;;;;
6;41;3;1;1;3;43;2;2;41;41;41;43;41;41;;;;;;;;;;;;;;
6;925;21;79;43;63;971;10;23;944;944;931;984;944;944;;;;;;;;;;;;;;
6;565;45;49;53;53;689;39;69;607;607;577;719;607;607;496;545;503;503;488;538;503;503;84;-42;8;-2;9;-8
7;204;2;3;13;15;234;16;1;212;212;227;219;212;212;;;;;;;;;;;;;;
7;209;2;18;7;2;255;15;4;187;187;198;244;187;187;;;;;;;;;;;;;;
7;329;21;8;23;9;430;28;14;318;318;332;416;318;318;;;;;;;;;;;;;;
7;124;4;11;9;6;136;10;9;123;123;124;135;123;123;;;;;;;;;;;;;;
7;981;92;53;50;18;1149;80;27;851;851;904;1096;851;851;357;422;338;338;369;441;338;338;168;-84;28;-9;23;-20
8;484;3;4;1;8;559;16;54;524;524;486;597;524;524;;;;;;;;;;;;;;
8;424;1;22;30;35;562;10;49;505;505;466;601;505;505;;;;;;;;;;;;;;
8;430;15;11;2;1;463;10;10;407;407;407;463;407;407;;;;;;;;;;;;;;
8;712;35;40;37;15;895;48;69;710;710;689;916;710;710;;;;;;;;;;;;;;
8;140;0;9;10;8;183;1;9;157;157;149;191;157;157;439;554;461;461;438;532;461;461;186;-93;17;-5;21;-17
9;363;26;34;16;5;349;1;30;353;353;324;378;353;353;;;;;;;;;;;;;;
9;829;21;33;50;4;1015;33;97;893;893;829;1079;893;893;;;;;;;;;;;;;;
9;691;20;33;36;15;893;11;79;757;757;689;961;757;757;;;;;;;;;;;;;;
9;72;3;3;1;2;85;2;1;68;68;69;84;68;68;;;;;;;;;;;;;;
9;354;9;12;34;21;477;3;26;411;411;388;500;411;411;460;600;496;496;462;564;496;496;208;-104;16;-4;23;-17
10;985;40;58;60;38;1254;121;13;877;877;985;1146;877;877;;;;;;;;;;;;;;
10;216;1;12;4;2;248;17;5;197;197;209;236;197;197;;;;;;;;;;;;;;
10;822;23;6;79;68;995;28;60;972;972;940;1027;972;972;;;;;;;;;;;;;;
10;394;8;14;33;14;487;6;11;424;424;419;492;424;424;;;;;;;;;;;;;;
10;634;19;51;39;55;667;6;50;702;702;658;711;702;702;642;722;634;634;610;730;634;634;176;-88;15;-5;14;-12
1;449;34;8;34;41;523;46;25;461;461;482;502;461;461;;;;;;;;;;;;;;
1;897;39;18;60;53;1177;70;34;917;917;953;1141;917;917;;;;;;;;;;;;;;
1;154;7;0;6;2;183;1;8;162;162;155;190;162;162;;;;;;;;;;;;;;
1;872;6;62;38;9;924;9;24;866;866;851;939;866;866;;;;;;;;;;;;;;
1;70;3;3;4;2;86;8;6;68;68;70;84;68;68;502;571;495;495;488;579;495;495;153;-76;16;-5;15;-13
2;870;83;71;8;34;870;33;58;783;783;758;895;783;783;;;;;;;;;;;;;;
2;357;23;2;5;34;386;7;25;389;389;371;404;389;389;;;;;;;;;;;;;;
2;794;20;47;31;10;832;29;58;797;797;768;861;797;797;;;;;;;;;;;;;;
2;872;2;3;56;14;1012;75;49;911;911;937;986;911;911;;;;;;;;;;;;;;
2;889;62;66;69;57;1104;46;14;855;855;887;1072;855;855;744;844;747;747;756;841;747;747;193;-97;13;-4;13;-11
3;875;16;51;28;17;1091;14;9;848;848;853;1086;848;848;;;;;;;;;;;;;;
3;105;8;9;8;3;115;10;2;91;91;99;107;91;91;;;;;;;;;;;;;;
3;355;20;13;1;27;430;4;17;363;363;350;443;363;363;;;;;;;;;;;;;;
3;410;33;8;5;27;411;31;4;374;374;401;384;374;374;;;;;;;;;;;;;;;
3;805;12;51;79;26;996;67;5;785;785;847;934;785;785;510;591;492;492;510;609;492;492;197;-99;22;-7;19;-17;
4;724;35;27;21;43;749;15;38;749;749;726;772;749;749;;;;;;;;;;;;;;;
4;701;13;39;15;26;751;42;59;707;707;690;768;707;707;;;;;;;;;;;;;;;
4;368;4;17;17;34;496;4;33;427;427;398;525;427;427;;;;;;;;;;;;;;;
4;544;42;54;24;39;598;54;40;497;497;511;584;497;497;;;;;;;;;;;;;;;
4;899;4;7;76;74;1223;66;105;1077;1077;1038;1262;1077;1077;673;782;691;691;647;763;691;691;182;-91;11;-3;13;-12;
5;69;1;1;3;4;77;6;4;72;72;74;75;72;72;;;;;;;;;;;;;;;
5;219;12;9;17;4;259;17;3;205;205;219;245;205;205;;;;;;;;;;;;;;;
5;404;22;34;33;7;446;36;15;367;367;388;425;367;367;;;;;;;;;;;;;;;
5;16;0;1;1;1;20;0;0;17;17;17;20;17;17;;;;;;;;;;;;;;;
5;623;58;62;3;39;630;58;24;511;511;545;596;511;511;249;272;234;234;266;286;234;234;76;-38;20;-7;15;-14;
6;230;8;23;5;4;258;11;4;201;201;208;251;201;201;;;;;;;;;;;;;;;
6;484;40;39;39;29;552;52;12;433;433;473;512;433;433;;;;;;;;;;;;;;;
6;301;18;25;16;17;358;2;17;306;306;291;373;306;306;;;;;;;;;;;;;;;
6;162;15;14;14;4;179;3;10;158;158;151;186;158;158;;;;;;;;;;;;;;;
6;48;4;2;1;0;54;4;5;44;44;43;55;44;44;233;275;228;228;245;280;228;228;94;-47;22;-7;20;-17
7;743;19;64;33;63;961;10;82;828;828;756;1033;828;828;;;;;;;;;;;;;;
7;916;48;83;70;3;979;45;76;889;889;858;1010;889;889;;;;;;;;;;;;;;
7;168;7;6;5;15;209;15;3;163;163;175;197;163;163;;;;;;;;;;;;;;
7;879;6;72;21;43;988;53;64;876;876;865;999;876;876;;;;;;;;;;;;;;
7;64;1;1;0;0;75;4;3;61;61;62;74;61;61;543;663;563;563;554;642;563;563;198;-99;15;-4;18;-15
8;490;28;11;40;5;594;38;39;497;497;496;595;497;497;;;;;;;;;;;;;;
8;668;32;33;37;33;692;9;58;722;722;673;741;722;722;;;;;;;;;;;;;;
8;88;7;4;3;1;87;0;6;87;87;81;93;87;87;;;;;;;;;;;;;;
8;837;15;51;2;33;962;67;89;828;828;806;984;828;828;;;;;;;;;;;;;;
8;530;22;4;13;15;635;33;16;515;515;532;618;515;515;518;606;530;530;523;594;530;530;153;-76;13;-4;15;-13
9;512;7;26;34;27;652;23;65;582;582;540;694;582;582;;;;;;;;;;;;;;
9;844;82;49;12;2;847;47;27;707;707;727;827;707;707;;;;;;;;;;;;;;
9;2;0;0;0;0;2;0;0;2;2;2;2;2;2;;;;;;;;;;;;;;
