t;ms1.mq;ms1.ab1;ms1.ab2;ms1.zu1;ms1.zu2;ms2.mq;ms2.ab1;ms2.zu1;ms3.mq;ms4.mq;MS1;MS2;MS3;MS4;VS_MS1;VS_MS2;VS_MS3;VS_MS4;VS_MQ1;VS_MQ2;VS_MQ3;VS_MQ4;BIL_MS2;BIL_MS3;ABW_GR2;ABW_GR3;ABW_VOR2;ABW_VOR3
1;479;22;10;30;32;642;36;60;533;533;509;533;533;533;;;;;;;;;;;;;;
1;383;6;7;6;29;484;35;25;395;395;405;395;395;395;;;;;;;;;;;;;;
1;111;11;1;7;1;118;3;6;110;110;107;110;110;110;;;;;;;;;;;;;;
1;887;64;30;53;44;973;58;60;892;892;890;892;892;892;;;;;;;;;;;;;;
1;265;15;21;4;25;275;12;4;250;250;258;250;250;250;434;501;436;436;425;498;436;436;129;-65;14;-5;15;-13
2;839;45;49;11;49;823;16;0;789;789;805;789;789;789;;;;;;;;;;;;;;
2;73;6;6;3;5;84;2;2;69;69;69;69;69;69;;;;;;;;;;;;;;
2;303;8;27;11;6;295;18;14;281;281;285;281;281;281;;;;;;;;;;;;;;
2;342;12;17;2;19;423;8;22;348;348;334;348;348;348;;;;;;;;;;;;;;
2;675;36;26;7;14;796;4;55;685;685;634;685;685;685;425;493;434;434;446;484;434;434;118;-59;12;-4;14;-12
3;622;10;46;43;51;729;60;21;621;621;660;621;621;621;;;;;;;;;;;;;;
3;954;67;3;35;66;1172;96;46;935;935;985;935;935;935;;;;;;;;;;;;;;
3;263;11;8;15;12;351;30;18;259;259;271;259;259;259;;;;;;;;;;;;;;
3;262;2;19;12;26;331;12;14;281;281;279;281;281;281;;;;;;;;;;;;;;
3;361;18;16;22;0;437;14;30;365;365;349;365;365;365;509;587;492;492;492;604;492;492;190;-95;21;-7;19;-16
4;967;77;54;82;93;1102;82;40;969;969;1011;969;969;969;;;;;;;;;;;;;;
4;544;30;46;27;46;627;23;49;567;567;541;567;567;567;;;;;;;;;;;;;;
4;366;19;35;14;34;405;28;30;362;362;360;362;362;362;;;;;;;;;;;;;;
4;998;88;6;5;22;1047;19;41;953;953;931;953;953;953;;;;;;;;;;;;;;
4;580;56;56;32;49;624;44;24;529;529;549;529;529;529;678;759;676;676;691;761;676;676;166;-83;12;-4;12;-11
5;172;13;12;6;6;188;18;12;153;153;159;153;153;153;;;;;;;;;;;;;;
5;441;32;17;29;33;561;46;3;411;411;454;411;411;411;;;;;;;;;;;;;;
5;209;10;18;6;16;203;6;14;211;211;203;211;211;211;;;;;;;;;;;;;;
5;852;80;5;70;52;1063;15;11;885;885;889;885;885;885;;;;;;;;;;;;;;
5;721;23;12;0;51;870;42;28;723;723;737;723;723;723;488;565;477;477;479;577;477;477;177;-88;20;-6;18;-16
6;579;33;30;48;6;701;5;33;598;598;570;598;598;598;;;;;;;;;;;;;;
6;579;13;42;40;1;636;8;34;591;591;565;591;591;591;;;;;;;;;;;;;;
6;30;0;2;2;3;37;2;2;33;33;33;33;33;33;;;;;;;;;;;;;;
6;6;0;0;1;0;8;0;0;7;7;7;7;7;7;;;;;;;;;;;;;;
6;742;22;40;51;59;796;6;68;852;852;790;852;852;852;393;459;416;416;387;436;416;416;86;-43;7;-2;11;-9
7;437;11;9;31;23;582;37;8;442;442;471;442;442;442;;;;;;;;;;;;;;
7;70;7;0;4;2;88;8;3;64;64;69;64;64;64;;;;;;;;;;;;;;
7;109;7;9;4;9;129;3;11;114;114;106;114;114;114;;;;;;;;;;;;;;
7;878;31;23;63;57;1041;2;56;998;998;944;998;998;998;;;;;;;;;;;;;;
7;349;29;26;20;14;414;30;21;319;319;328;319;319;319;384;455;387;387;369;451;387;387;135;-68;17;-5;17;-15
