Knotenpunkte:;;;;;;;;;;;
Q1;QZ11;QA11;QZ12;QA12;Q2;QZ2;QA2;Q3;Q4;QZ4;QA4
20;19;16;13;78;235;166;18;29;94;222;2
30;8;24;100;32;87;67;105;29;17;182;3
121;34;34;201;122;116;158;130;20;fehlerhaft;103;1
180;18;24;51;90;241;138;21;10;30;149;13
;;;;;;;;;;;


QxMessQuerschnitt1;;QxMessStelle1;;;BilanzQx1;ZwischenBilanzQx1;;AbweichungQ1;;;
87,75;;93,75;;;#WERT!;fehlerhaft/nicht ermittelbar;;fehlerhaft/nicht ermittelbar;;;
QxMessQuerschnitt2;;QxMessStelle2;;;BilanzQx2;ZwischenBilanzQx2;;AbweichungQ2;;;
169,75;;233,5;;;287,5;76;;81,06666667;;;
QxMessQuerschnitt3;;QxMessStelle3;;;BilanzQx3;ZwischenBilanzQx3;;AbweichungQ3;;;
22;;22;;;#WERT!;-211,5;;-90,57815846;;;
QxMessQuerschnitt4;;QxMessStelle4;;;BilanzQx4;ZwischenBilanzQx4;;AbweichungQ4;;;
#WERT!;;#WERT!;;;#WERT!;#WERT!;;#WERT!;;;
;;;;;;ZwischenBilanzQx5;;;;;
;;;;;;fehlerhaft/nicht ermittelbar;;;;;



Freie Strecke:;;;;;;;;;;;
Q1;QZ11;QA11;QZ12;QA12;Q2;QZ2;QA2;Q3;Q4;QZ4;QA4
20;19;16;13;78;235;166;18;29;94;222;2
30;8;24;100;32;87;67;105;29;17;182;3
121;34;34;201;122;116;158;130;20;23;103;1
180;18;24;51;90;241;138;21;10;30;149;13
;;;;;;;;;;;


QxMessQuerschnitt1;;QxMessStelle1;;;BilanzQx1;ZwischenBilanzQx1;;AbweichungQ1;;;
87,75;;93,75;;;#WERT!;fehlerhaft/nicht ermittelbar;;9,516380655
QxMessQuerschnitt2;;QxMessStelle2;;;BilanzQx2;ZwischenBilanzQx2;;AbweichungQ2
169,75;;233,5;;;287,5;76;;111,8564743
QxMessQuerschnitt3;;QxMessStelle3;;;BilanzQx3;ZwischenBilanzQx3;;AbweichungQ3
22;;22;;;-230,5;-211,5;;-72,54290172
QxMessQuerschnitt4;;QxMessStelle4;;;BilanzQx4;ZwischenBilanzQx4;;AbweichungQ4
41;;200,25;;;#WERT!;19;;-48,8299532
;;;;;;ZwischenBilanzQx5;;
;;;;;;fehlerhaft/nicht ermittelbar;;
